Line Item,Qty,Reference Designator,Description,Manufacturer,Part Number,LCSC Part Number,Digi-Key Part Number,Unit Price ($),Extended Price ($),Package/Footprint,Value/Spec,Sourcing Notes
1,1,U1,MCU ARM Cortex-M4 1MB Flash 128KB RAM LQFP-64,STMicroelectronics,STM32L476RGT6,C152425,497-STM32L476RGT6-ND,4.85,4.85,LQFP-64,,MCU Core
2,8,U2-U9,Instrumentation Amplifier Zero-Drift Rail-to-Rail,Texas Instruments,INA333AIDGKR,C48659,296-INA333AIDGKR-ND,2.35,18.80,VSSOP-8,,8-channel EMG preamps
3,1,U10,Precision ADC 24-bit 8-ch Delta-Sigma,Texas Instruments,ADS131M08IPBSR,C2939338,ADS131M08IPBSR-ND,6.95,6.95,TQFP-32,,High-res EMG ADC
4,1,U11,LDO Regulator 3.3V 1A SOT-223,Advanced Monolithic Systems,AMS1117-3.3,C6186,AMS1117-3.3CT-ND,0.25,0.25,SOT-223-3,,3.3V Supply
5,1,U12,LDO Regulator 5V 1A SOT-223,Advanced Monolithic Systems,AMS1117-5.0,C6185,AMS1117-5.0CT-ND,0.25,0.25,SOT-223-3,,5V Supply
6,1,U13,USB Type-C Receptacle 16P Mid-mount,USB-IF,USB-C-16P-MID,C168688,USB-C-16P-MID-ND,0.85,0.85,SMD MID-MOUNT,,USB Connector
7,1,U14,ESD Protection for USB 2.0,STMicroelectronics,USBLC6-2SC6,C2828234,497-12775-1-ND,0.35,0.35,SOT23-6,,USB Protection
8,1,U15,Crystal 8MHz HC-49S,Yangxing Tech,X49SM8MSD2SC,C16212,887-X49SM8MSD2SC-ND,0.15,0.15,HC-49S,8MHz,HSE Crystal
9,1,Y1,Crystal 32.768kHz FC-135,Epson,FC-135 32.7680KA-A3,C32346,SE3203-ND,0.25,0.25,SMD2X1.4,32.768kHz,LSE Crystal
10,4,C1-C4,Ceramic Capacitor 100nF 50V X7R 0603,Murata,GRM188R71H104KA93D,C14663,490-7208-1-ND,0.03,0.12,0603,100nF,Decoupling
11,2,C5-C6,Ceramic Capacitor 4.7uF 50V X5R 0805,Murata,GRM21BR61H475KE51L,C440198,490-3896-1-ND,0.08,0.16,0805,4.7uF,Power caps
12,2,C7-C8,Ceramic Capacitor 10uF 16V X5R 0805,Murata,GRM21BR61C106KE15L,C440198,490-6402-1-ND,0.08,0.16,0805,10uF,Power caps
13,1,C9,Ceramic Capacitor 12pF 50V C0G 0603,Murata,GRM1885C1H120JA01D,C1658,490-1401-1-ND,0.03,0.03,0603,12pF,HSE load
14,1,C10,Ceramic Capacitor 12pF 50V C0G 0603,Murata,GRM1885C1H120JA01D,C1658,490-1401-1-ND,0.03,0.03,0603,12pF,HSE load
15,1,C11,Ceramic Capacitor 6.8pF 50V C0G 0402,Murata,GRM1555C1H6R8CA01D,C1632,490-1248-1-ND,0.03,0.03,0402,6.8pF,LSE load
16,1,C12,Ceramic Capacitor 6.8pF 50V C0G 0402,Murata,GRM1555C1H6R8CA01D,C1632,490-1248-1-ND,0.03,0.03,0402,6.8pF,LSE load
17,16,R1-R16,Resistor 10k 1% 0603,Vishay,CRCW060310K0FKEA,C25804,541-10KACT-ND,0.008,0.13,0603,10k,Bias resistors
18,8,R17-R24,Resistor 100k 1% 0603,Vishay,CRCW0603100K0FKEA,C25803,541-100KACT-ND,0.008,0.06,0603,100k,Gain setting
19,8,R25-R32,Resistor 1k 1% 0603,Vishay,CRCW06031K00FKEA,C21190,541-1.0KACT-ND,0.008,0.06,0603,1k,Current limit
20,1,R33,Resistor 10M 1% 0603,Vishay,CRCW060310M0FKEA,C25811,541-10MACT-ND,0.008,0.01,0603,10M,High Z bias
21,1,L1,Ferrite Bead 600R 3A 0805,Murata,BLM21PG600SN1D,C76816,490-10330-1-ND,0.08,0.08,0805,600R@100MHz,EMI filter
22,1,L2,Ferrite Bead 600R 3A 0805,Murata,BLM21PG600SN1D,C76816,490-10330-1-ND,0.08,0.08,0805,600R@100MHz,EMI filter
23,1,L3,Inductor 10uH 1.5A CD54,Sunlord,SCDS4D28NP-100MC,C2894932,SCDS4D28NP-100MC-ND,0.35,0.35,CD54,10uH,Buck inductor
24,1,D1,LED Green 0603,NationStar,FC-DA1608HUGK-620D,C434440,732-4986-1-ND,0.05,0.05,0603,Green,Status LED
25,1,D2,LED Red 0603,NationStar,FC-DA1608HRK-620D,C434445,732-4985-1-ND,0.05,0.05,0603,Red,Error LED
