Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,LCSC
U1,STM32L476RGT6,LQFP-64_10x10mm_P0.5mm,25.00,17.50,0,Top,C152425
U2,INA333AIDGKR,VSSOP-8,10.00,8.00,90,Top,C48659
U3,INA333AIDGKR,VSSOP-8,10.00,15.00,90,Top,C48659
U4,INA333AIDGKR,VSSOP-8,10.00,22.00,90,Top,C48659
U5,INA333AIDGKR,VSSOP-8,10.00,29.00,90,Top,C48659
U6,INA333AIDGKR,VSSOP-8,40.00,8.00,270,Top,C48659
U7,INA333AIDGKR,VSSOP-8,40.00,15.00,270,Top,C48659
U8,INA333AIDGKR,VSSOP-8,40.00,22.00,270,Top,C48659
U9,INA333AIDGKR,VSSOP-8,40.00,29.00,270,Top,C48659
U10,ADS131M08IPBSR,TQFP-32,25.00,30.00,0,Top,C2939338
U11,AMS1117-3.3,SOT-223-3,45.00,5.00,0,Top,C6186
U12,AMS1117-5.0,SOT-223-3,45.00,10.00,0,Top,C6185
U13,USB-C-16P-MID,SMD MID-MOUNT,5.00,17.50,90,Top,C168688
U14,USBLC6-2SC6,SOT23-6,8.00,17.50,270,Top,C2828234
U15,X49SM8MSD2SC,HC-49S,25.00,12.50,0,Bottom,C16212
Y1,FC-135,SMD2X1.4,25.00,8.00,0,Top,C32346
C1,100nF,0603,12.00,6.00,0,Top,C14663
C2,100nF,0603,38.00,6.00,0,Top,C14663
C3,100nF,0603,12.00,32.00,0,Top,C14663
C4,100nF,0603,38.00,32.00,0,Top,C14663
C5,4.7uF,0805,43.00,5.00,0,Top,C440198
C6,4.7uF,0805,43.00,10.00,0,Top,C440198
C7,10uF,0805,47.00,5.00,0,Top,C440198
C8,10uF,0805,47.00,10.00,0,Top,C440198
C9,12pF,0603,27.00,12.00,0,Top,C1658
C10,12pF,0603,27.00,13.00,0,Top,C1658
C11,6.8pF,0402,23.00,12.00,0,Top,C1632
C12,6.8pF,0402,23.00,13.00,0,Top,C1632
R1,10k,0603,15.00,8.00,90,Top,C25804
R2,10k,0603,15.00,15.00,90,Top,C25804
R3,10k,0603,15.00,22.00,90,Top,C25804
R4,10k,0603,15.00,29.00,90,Top,C25804
R5,10k,0603,35.00,8.00,90,Top,C25804
R6,10k,0603,35.00,15.00,90,Top,C25804
R7,10k,0603,35.00,22.00,90,Top,C25804
R8,10k,0603,35.00,29.00,90,Top,C25804
R9,100k,0603,8.00,10.00,0,Top,C25803
R10,100k,0603,8.00,17.00,0,Top,C25803
R11,100k,0603,8.00,24.00,0,Top,C25803
R12,100k,0603,8.00,31.00,0,Top,C25803
R13,1k,0603,42.00,10.00,0,Top,C21190
R14,1k,0603,42.00,17.00,0,Top,C21190
R15,1k,0603,42.00,24.00,0,Top,C21190
R16,1k,0603,42.00,31.00,0,Top,C21190
R17,100k,0603,8.00,10.00,0,Top,C25803
R18,100k,0603,8.00,17.00,0,Top,C25803
R19,100k,0603,8.00,24.00,0,Top,C25803
R20,100k,0603,8.00,31.00,0,Top,C25803
R21,100k,0603,8.00,10.00,0,Top,C25803
R22,100k,0603,8.00,17.00,0,Top,C25803
R23,100k,0603,8.00,24.00,0,Top,C25803
R24,100k,0603,8.00,31.00,0,Top,C25803
R25,1k,0603,8.00,10.00,0,Top,C21190
R26,1k,0603,8.00,17.00,0,Top,C21190
R27,1k,0603,8.00,24.00,0,Top,C21190
R28,1k,0603,8.00,31.00,0,Top,C21190
R29,1k,0603,8.00,10.00,0,Top,C21190
R30,1k,0603,8.00,17.00,0,Top,C21190
R31,1k,0603,8.00,24.00,0,Top,C21190
R32,1k,0603,8.00,31.00,0,Top,C21190
R33,10M,0603,25.00,5.00,0,Top,C25811
L1,BLM21PG600SN1D,0805,20.00,30.00,0,Top,C76816
L2,BLM21PG600SN1D,0805,30.00,30.00,0,Top,C76816
L3,SCDS4D28NP-100MC,CD54,45.00,15.00,0,Top,C2894932
D1,FC-DA1608HUGK-620D,0603,48.00,30.00,90,Top,C434440
D2,FC-DA1608HRK-620D,0603,48.00,25.00,90,Top,C434445
D3,SS14,SMA,2.00,25.00,0,Top,C8598
SW1,RS-032G05-A3,SMD 3x4mm,3.00,10.00,0,Top,C92584
SW2,RS-032G05-A3,SMD 3x4mm,3.00,25.00,0,Top,C92584
SW3,JS202011SCQN,SMD 8.6x3.6mm,47.00,20.00,0,Top,C128955
