Designator,Mid X,Mid Y,Layer,Rotation
U1,25.00,17.50,Top,0
U2,10.00,8.00,Top,90
U3,10.00,15.00,Top,90
U4,10.00,22.00,Top,90
U5,10.00,29.00,Top,90
U6,40.00,8.00,Top,270
U7,40.00,15.00,Top,270
U8,40.00,22.00,Top,270
U9,40.00,29.00,Top,270
U10,25.00,30.00,Top,0
U11,45.00,5.00,Top,0
U12,45.00,10.00,Top,0
U13,5.00,17.50,Top,90
U14,8.00,17.50,Top,270
U15,25.00,12.50,Bottom,0
Y1,25.00,8.00,Top,0
C1,12.00,6.00,Top,0
C2,38.00,6.00,Top,0
C3,12.00,32.00,Top,0
C4,38.00,32.00,Top,0
C5,43.00,5.00,Top,0
C6,43.00,10.00,Top,0
C7,47.00,5.00,Top,0
C8,47.00,10.00,Top,0
C9,27.00,12.00,Top,0
C10,27.00,13.00,Top,0
C11,23.00,12.00,Top,0
C12,23.00,13.00,Top,0
R1,15.00,8.00,Top,90
R2,15.00,15.00,Top,90
R3,15.00,22.00,Top,90
R4,15.00,29.00,Top,90
R5,35.00,8.00,Top,90
R6,35.00,15.00,Top,90
R7,35.00,22.00,Top,90
R8,35.00,29.00,Top,90
R9,8.00,10.00,Top,0
R10,8.00,17.00,Top,0
R11,8.00,24.00,Top,0
R12,8.00,31.00,Top,0
R13,42.00,10.00,Top,0
R14,42.00,17.00,Top,0
R15,42.00,24.00,Top,0
R16,42.00,31.00,Top,0
R17,8.00,10.00,Top,0
R18,8.00,17.00,Top,0
R19,8.00,24.00,Top,0
R20,8.00,31.00,Top,0
R21,42.00,10.00,Top,0
R22,42.00,17.00,Top,0
R23,42.00,24.00,Top,0
R24,42.00,31.00,Top,0
R25,8.00,10.00,Top,0
R26,8.00,17.00,Top,0
R27,8.00,24.00,Top,0
R28,8.00,31.00,Top,0
R29,42.00,10.00,Top,0
R30,42.00,17.00,Top,0
R31,42.00,24.00,Top,0
R32,42.00,31.00,Top,0
R33,25.00,5.00,Top,0
L1,20.00,30.00,Top,0
L2,30.00,30.00,Top,0
L3,45.00,15.00,Top,0
D1,48.00,30.00,Top,90
D2,48.00,25.00,Top,90
D3,2.00,25.00,Top,0
SW1,3.00,10.00,Top,0
SW2,3.00,25.00,Top,0
SW3,47.00,20.00,Top,0
